Chromosome/scaffold name,Strand,Transcript start (bp),Transcript end (bp),5' UTR end,3' UTR start,Gene stable ID,Gene name,Transcript stable ID,Protein stable ID
I,1,1708728,1710347,1708821,,SPAC664.03,paf1,SPAC664.03.1,SPAC664.03.1:pep
I,1,1708728,1710347,,1710230,SPAC664.03,paf1,SPAC664.03.1,SPAC664.03.1:pep
II,1,4035580,4037342,4035813,4036972,SPBC215.05,gpd1,SPBC215.05.1,SPBC215.05.1:pep
II,1,4038885,4043168,,,SPNCRNA.1658,SPBC215.07c-antisense-1,SPNCRNA.1658.1,
I,1,1734381,1737307,1734992,1736949,SPAC664.15,caf4,SPAC664.15.1,SPAC664.15.1:pep
II,1,4043158,4045767,,,SPNCRNA.1659,arg4-antisense-1,SPNCRNA.1659.1,
II,-1,4061232,4064411,4064411,4061232,SPBC1347.01c,rev1,SPBC1347.01c.1,SPBC1347.01c.1:pep
I,1,1770119,1772023,1770190,1770866,SPAC17A5.10,SPAC17A5.10,SPAC17A5.10.1,SPAC17A5.10.1:pep
II,-1,4069163,4070800,4070800,,SPBC1347.05c,SPBC1347.05c,SPBC1347.05c.1,SPBC1347.05c.1:pep
II,-1,4069163,4070800,,,SPBC1347.05c,SPBC1347.05c,SPBC1347.05c.1,SPBC1347.05c.1:pep
II,-1,4069163,4070800,,,SPBC1347.05c,SPBC1347.05c,SPBC1347.05c.1,SPBC1347.05c.1:pep
II,-1,4069163,4070800,,4069163,SPBC1347.05c,SPBC1347.05c,SPBC1347.05c.1,SPBC1347.05c.1:pep
II,1,4088146,4088647,,,SPNCRNA.1666,SPNCRNA.1666,SPNCRNA.1666.1,
I,-1,1782880,1785113,1785113,1782880,SPAC17A5.15c,gus1,SPAC17A5.15c.1,SPAC17A5.15c.1:pep
II,-1,4145285,4146278,4146278,,SPBC1861.08c,lea1,SPBC1861.08c.1,SPBC1861.08c.1:pep
II,-1,4145285,4146278,,4145285,SPBC1861.08c,lea1,SPBC1861.08c.1,SPBC1861.08c.1:pep
II,-1,4169628,4170202,,,SPNCRNA.1677,doa10-antisense-1,SPNCRNA.1677.1,
I,-1,1811408,1813805,1813805,1811408,SPAC1002.09c,dld1,SPAC1002.09c.1,SPAC1002.09c.1:pep
II,-1,4199356,4201947,4201947,,SPBC342.01c,alg6,SPBC342.01c.1,SPBC342.01c.1:pep
II,-1,4199356,4201947,,,SPBC342.01c,alg6,SPBC342.01c.1,SPBC342.01c.1:pep
II,-1,4199356,4201947,,4199356,SPBC342.01c,alg6,SPBC342.01c.1,SPBC342.01c.1:pep
II,1,4206247,4207715,,4207618,SPBC342.03,gas4,SPBC342.03.1,SPBC342.03.1:pep
I,1,1816490,1818558,1816652,1818399,SPAC1002.11,gaa1,SPAC1002.11.1,SPAC1002.11.1:pep
II,-1,4233868,4236432,4236432,,SPBC16G5.12c,top3,SPBC16G5.12c.1,SPBC16G5.12c.1:pep
II,-1,4233868,4236432,,,SPBC16G5.12c,top3,SPBC16G5.12c.1,SPBC16G5.12c.1:pep
II,-1,4233868,4236432,,,SPBC16G5.12c,top3,SPBC16G5.12c.1,SPBC16G5.12c.1:pep
II,-1,4233868,4236432,,,SPBC16G5.12c,top3,SPBC16G5.12c.1,SPBC16G5.12c.1:pep
II,-1,4233868,4236432,,,SPBC16G5.12c,top3,SPBC16G5.12c.1,SPBC16G5.12c.1:pep
II,-1,4233868,4236432,,4233868,SPBC16G5.12c,top3,SPBC16G5.12c.1,SPBC16G5.12c.1:pep
II,-1,4239161,4239235,,,SPNCRNA.497,SPNCRNA.497,SPNCRNA.497.1,
II,1,4251907,4252224,,,SPBC16G5.19,SPBC16G5.19,SPBC16G5.19.1,SPBC16G5.19.1:pep
II,-1,4255755,4259164,,,SPNCRNA.577,SPBC1652.02-antisense-1,SPNCRNA.577.1,
II,-1,4264123,4265302,,,SPNCRNA.1684,SPNCRNA.1684,SPNCRNA.1684.1,
I,-1,1824486,1827260,1827260,,SPAC1002.15c,med6,SPAC1002.15c.1,SPAC1002.15c.1:pep
I,-1,1824486,1827260,,,SPAC1002.15c,med6,SPAC1002.15c.1,SPAC1002.15c.1:pep
I,-1,1824486,1827260,,,SPAC1002.15c,med6,SPAC1002.15c.1,SPAC1002.15c.1:pep
I,-1,1824486,1827260,,1824486,SPAC1002.15c,med6,SPAC1002.15c.1,SPAC1002.15c.1:pep
II,1,4275226,4277062,4275256,,SPBC16A3.12c,SPBC16A3.12c,SPBC16A3.12c.1,SPBC16A3.12c.1:pep
II,1,4275226,4277062,,,SPBC16A3.12c,SPBC16A3.12c,SPBC16A3.12c.1,SPBC16A3.12c.1:pep
II,1,4275226,4277062,,,SPBC16A3.12c,SPBC16A3.12c,SPBC16A3.12c.1,SPBC16A3.12c.1:pep
II,1,4275226,4277062,,,SPBC16A3.12c,SPBC16A3.12c,SPBC16A3.12c.1,SPBC16A3.12c.1:pep
II,1,4275226,4277062,,4276889,SPBC16A3.12c,SPBC16A3.12c,SPBC16A3.12c.1,SPBC16A3.12c.1:pep
I,1,1835270,1837060,1835468,1836789,SPAC1002.19,urg1,SPAC1002.19.1,SPAC1002.19.1:pep
I,1,1899904,1901605,1900051,,SPAC140.03,arb1,SPAC140.03.1,SPAC140.03.1:pep
I,1,1899904,1901605,,,SPAC140.03,arb1,SPAC140.03.1,SPAC140.03.1:pep
I,1,1899904,1901605,,,SPAC140.03,arb1,SPAC140.03.1,SPAC140.03.1:pep
I,1,1899904,1901605,,,SPAC140.03,arb1,SPAC140.03.1,SPAC140.03.1:pep
I,1,1899904,1901605,,1901432,SPAC140.03,arb1,SPAC140.03.1,SPAC140.03.1:pep
II,1,4283876,4285456,4283937,,SPBC16A3.08c,oga1,SPBC16A3.08c.1,SPBC16A3.08c.1:pep
II,1,4283876,4285456,,,SPBC16A3.08c,oga1,SPBC16A3.08c.1,SPBC16A3.08c.1:pep
II,1,4283876,4285456,,4285123,SPBC16A3.08c,oga1,SPBC16A3.08c.1,SPBC16A3.08c.1:pep
II,1,4288914,4290900,4288944,,SPBC16A3.05c,rae1,SPBC16A3.05c.1,SPBC16A3.05c.1:pep
II,1,4288914,4290900,,,SPBC16A3.05c,rae1,SPBC16A3.05c.1,SPBC16A3.05c.1:pep
II,1,4288914,4290900,,4290473,SPBC16A3.05c,rae1,SPBC16A3.05c.1,SPBC16A3.05c.1:pep
II,-1,4332178,4333581,4333581,,SPBC16C6.03c,SPBC16C6.03c,SPBC16C6.03c.1,SPBC16C6.03c.1:pep
II,-1,4332178,4333581,,,SPBC16C6.03c,SPBC16C6.03c,SPBC16C6.03c.1,SPBC16C6.03c.1:pep
II,-1,4332178,4333581,,4332178,SPBC16C6.03c,SPBC16C6.03c,SPBC16C6.03c.1,SPBC16C6.03c.1:pep
II,1,4335569,4336480,4335618,,SPBC16C6.05,SPBC16C6.05,SPBC16C6.05.1,SPBC16C6.05.1:pep
II,1,4335569,4336480,,4336245,SPBC16C6.05,SPBC16C6.05,SPBC16C6.05.1,SPBC16C6.05.1:pep
I,1,1916054,1917656,1916107,,SPAC110.03,cdc42,SPAC110.03.1,SPAC110.03.1:pep
I,1,1916054,1917656,,,SPAC110.03,cdc42,SPAC110.03.1,SPAC110.03.1:pep
I,1,1916054,1917656,,1917280,SPAC110.03,cdc42,SPAC110.03.1,SPAC110.03.1:pep
II,-1,4354162,4357187,4357187,,SPBC16C6.13c,sec27,SPBC16C6.13c.1,SPBC16C6.13c.1:pep
II,-1,4354162,4357187,,4354162,SPBC16C6.13c,sec27,SPBC16C6.13c.1,SPBC16C6.13c.1:pep
II,-1,4391989,4392721,4392721,,SPBC1289.05c,vma10,SPBC1289.05c.1,SPBC1289.05c.1:pep
II,-1,4391989,4392721,,,SPBC1289.05c,vma10,SPBC1289.05c.1,SPBC1289.05c.1:pep
II,-1,4391989,4392721,,,SPBC1289.05c,vma10,SPBC1289.05c.1,SPBC1289.05c.1:pep
II,-1,4391989,4392721,,,SPBC1289.05c,vma10,SPBC1289.05c.1,SPBC1289.05c.1:pep
II,-1,4391989,4392721,,4391989,SPBC1289.05c,vma10,SPBC1289.05c.1,SPBC1289.05c.1:pep
I,-1,1917767,1920867,1920867,,SPAC110.04c,pss1,SPAC110.04c.1,SPAC110.04c.1:pep
I,-1,1917767,1920867,1920201,1917767,SPAC110.04c,pss1,SPAC110.04c.1,SPAC110.04c.1:pep
I,1,1924893,1926539,1925101,,SPAP14E8.03,bos1,SPAP14E8.03.1,SPAP14E8.03.1:pep
I,1,1924893,1926539,,,SPAP14E8.03,bos1,SPAP14E8.03.1,SPAP14E8.03.1:pep
I,1,1924893,1926539,,1925933,SPAP14E8.03,bos1,SPAP14E8.03.1,SPAP14E8.03.1:pep
II,-1,4400383,4402885,4402885,4400383,SPBC1289.10c,adn2,SPBC1289.10c.1,SPBC1289.10c.1:pep
II,1,4404292,4405886,4404560,,SPBC1289.11,spf38,SPBC1289.11.1,SPBC1289.11.1:pep
II,1,4404292,4405886,,,SPBC1289.11,spf38,SPBC1289.11.1,SPBC1289.11.1:pep
II,1,4404292,4405886,,,SPBC1289.11,spf38,SPBC1289.11.1,SPBC1289.11.1:pep
II,1,4404292,4405886,,,SPBC1289.11,spf38,SPBC1289.11.1,SPBC1289.11.1:pep
II,1,4404292,4405886,,,SPBC1289.11,spf38,SPBC1289.11.1,SPBC1289.11.1:pep
II,1,4404292,4405886,,4405818,SPBC1289.11,spf38,SPBC1289.11.1,SPBC1289.11.1:pep
I,-1,1946557,1949256,1949256,,SPAC3H1.09c,avt3,SPAC3H1.09c.1,SPAC3H1.09c.1:pep
I,-1,1946557,1949256,,,SPAC3H1.09c,avt3,SPAC3H1.09c.1,SPAC3H1.09c.1:pep
I,-1,1946557,1949256,,,SPAC3H1.09c,avt3,SPAC3H1.09c.1,SPAC3H1.09c.1:pep
I,-1,1946557,1949256,,1946557,SPAC3H1.09c,avt3,SPAC3H1.09c.1,SPAC3H1.09c.1:pep
I,-1,1953760,1954186,,,SPNCRNA.780,SPNCRNA.780,SPNCRNA.780.1,
II,1,4412072,4413599,4412375,4413351,SPBC1289.14,SPBC1289.14,SPBC1289.14.1,SPBC1289.14.1:pep
I,-1,1966483,1966635,,,SPNCRNA.530,SPNCRNA.530,SPNCRNA.530.1,
II,-1,4432247,4433501,4433501,4432247,SPBC8E4.04,SPBC8E4.04,SPBC8E4.04.1,SPBC8E4.04.1:pep
II,-1,4435887,4436842,,,SPNCRNA.1694,SPNCRNA.1694,SPNCRNA.1694.1,
I,1,1975212,1976603,1975284,,SPAC9G1.04,oxa101,SPAC9G1.04.1,SPAC9G1.04.1:pep
I,1,1975212,1976603,,,SPAC9G1.04,oxa101,SPAC9G1.04.1,SPAC9G1.04.1:pep
I,1,1975212,1976603,,1976551,SPAC9G1.04,oxa101,SPAC9G1.04.1,SPAC9G1.04.1:pep
II,1,4466517,4467612,4466753,4467516,SPBPB2B2.05,SPBPB2B2.05,SPBPB2B2.05.1,SPBPB2B2.05.1:pep
II,-1,4482234,4483799,4483799,4482234,SPBPB2B2.10c,gal7,SPBPB2B2.10c.1,SPBPB2B2.10c.1:pep
I,1,1976706,1979209,1976901,,SPAC9G1.05,aip1,SPAC9G1.05.1,SPAC9G1.05.1:pep
I,1,1976706,1979209,,,SPAC9G1.05,aip1,SPAC9G1.05.1,SPAC9G1.05.1:pep
I,1,1976706,1979209,,,SPAC9G1.05,aip1,SPAC9G1.05.1,SPAC9G1.05.1:pep
I,1,1976706,1979209,,,SPAC9G1.05,aip1,SPAC9G1.05.1,SPAC9G1.05.1:pep
I,1,1976706,1979209,,,SPAC9G1.05,aip1,SPAC9G1.05.1,SPAC9G1.05.1:pep
I,1,1976706,1979209,,,SPAC9G1.05,aip1,SPAC9G1.05.1,SPAC9G1.05.1:pep
I,1,1976706,1979209,,1979062,SPAC9G1.05,aip1,SPAC9G1.05.1,SPAC9G1.05.1:pep
II,-1,4484023,4487569,4487569,4484023,SPBPB2B2.12c,gal10,SPBPB2B2.12c.1,SPBPB2B2.12c.1:pep
II,-1,4503653,4505257,4505257,4503653,SPBPB2B2.19c,SPBPB2B2.19c,SPBPB2B2.19c.1,SPBPB2B2.19c.1:pep
II,-1,4506517,4507540,4507540,,SPBCPT2R1.01c,SPBCPT2R1.01c,SPBCPT2R1.01c.1,SPBCPT2R1.01c.1:pep
II,-1,4506517,4507540,,4506517,SPBCPT2R1.01c,SPBCPT2R1.01c,SPBCPT2R1.01c.1,SPBCPT2R1.01c.1:pep
II,1,4512231,4512620,,,SPBCPT2R1.03,SPBCPT2R1.03,SPBCPT2R1.03.1,SPBCPT2R1.03.1:pep
II,-1,4515203,4515379,,,SPBCPT2R1.05c,SPBCPT2R1.05c,SPBCPT2R1.05c.1,
II,1,19395,20606,19640,,SPBC1348.07,SPBC1348.07,SPBC1348.07.1,SPBC1348.07.1:pep
II,1,19395,20606,,20384,SPBC1348.07,SPBC1348.07,SPBC1348.07.1,SPBC1348.07.1:pep
I,-1,1996774,1999613,1999613,,SPAC767.01c,vps1,SPAC767.01c.1,SPAC767.01c.1:pep
I,-1,1996774,1999613,,1996774,SPAC767.01c,vps1,SPAC767.01c.1,SPAC767.01c.1:pep
II,-1,22111,23529,,22111,SPBC1348.08c,SPBC1348.08c,SPBC1348.08c.1,SPBC1348.08c.1:pep
II,-1,26155,28576,28576,,SPBC1348.10c,SPBC1348.10c,SPBC1348.10c.1,SPBC1348.10c.1:pep
II,-1,26155,28576,,26155,SPBC1348.10c,SPBC1348.10c,SPBC1348.10c.1,SPBC1348.10c.1:pep
II,1,63602,64286,,,SPNCRNA.1303,SPNCRNA.1303,SPNCRNA.1303.1,
II,1,65390,66274,,,SPNCRNA.1304,SPNCRNA.1304,SPNCRNA.1304.1,
II,-1,91376,92863,,91376,SPBPB10D8.04c,SPBPB10D8.04c,SPBPB10D8.04c.1,SPBPB10D8.04c.1:pep
I,-1,2027208,2029000,2029000,,SPAC17H9.13c,SPAC17H9.13c,SPAC17H9.13c.1,SPAC17H9.13c.1:pep
I,-1,2027208,2029000,,,SPAC17H9.13c,SPAC17H9.13c,SPAC17H9.13c.1,SPAC17H9.13c.1:pep
I,-1,2027208,2029000,,2027208,SPAC17H9.13c,SPAC17H9.13c,SPAC17H9.13c.1,SPAC17H9.13c.1:pep
II,1,104609,107221,105127,106874,SPBC359.01,SPBC359.01,SPBC359.01.1,SPBC359.01.1:pep
II,1,140474,141087,,,SPNCRNA.296,SPNCRNA.296,SPNCRNA.296.1,
II,-1,154521,156642,,,SPNCRNA.1318,SPNCRNA.1318,SPNCRNA.1318.1,
I,1,2031074,2032221,2031212,,SPAC17H9.16,tom22,SPAC17H9.16.1,SPAC17H9.16.1:pep
I,1,2031074,2032221,,2031709,SPAC17H9.16,tom22,SPAC17H9.16.1,SPAC17H9.16.1:pep
II,-1,177469,180735,180735,,SPBC1198.04c,zas1,SPBC1198.04c.1,SPBC1198.04c.1:pep
II,-1,177469,180735,,,SPBC1198.04c,zas1,SPBC1198.04c.1,SPBC1198.04c.1:pep
II,-1,177469,180735,,,SPBC1198.04c,zas1,SPBC1198.04c.1,SPBC1198.04c.1:pep
II,-1,177469,180735,,,SPBC1198.04c,zas1,SPBC1198.04c.1,SPBC1198.04c.1:pep
II,-1,177469,180735,,,SPBC1198.04c,zas1,SPBC1198.04c.1,SPBC1198.04c.1:pep
II,-1,177469,180735,,,SPBC1198.04c,zas1,SPBC1198.04c.1,SPBC1198.04c.1:pep
II,-1,177469,180735,,,SPBC1198.04c,zas1,SPBC1198.04c.1,SPBC1198.04c.1:pep
II,-1,177469,180735,,,SPBC1198.04c,zas1,SPBC1198.04c.1,SPBC1198.04c.1:pep
II,-1,177469,180735,,177469,SPBC1198.04c,zas1,SPBC1198.04c.1,SPBC1198.04c.1:pep
II,-1,181431,182194,,,SPNCRNA.1322,SPBC1198.05-antisense-1,SPNCRNA.1322.1,
II,1,187366,189153,187423,,SPBC1198.08,SPBC1198.08,SPBC1198.08.1,SPBC1198.08.1:pep
II,1,187366,189153,,188980,SPBC1198.08,SPBC1198.08,SPBC1198.08.1,SPBC1198.08.1:pep
I,1,2036327,2040544,2036402,,SPAC17H9.20,psc3,SPAC17H9.20.1,SPAC17H9.20.1:pep
I,1,2036327,2040544,,,SPAC17H9.20,psc3,SPAC17H9.20.1,SPAC17H9.20.1:pep
I,1,2036327,2040544,,,SPAC17H9.20,psc3,SPAC17H9.20.1,SPAC17H9.20.1:pep
I,1,2036327,2040544,,,SPAC17H9.20,psc3,SPAC17H9.20.1,SPAC17H9.20.1:pep
I,1,2036327,2040544,,,SPAC17H9.20,psc3,SPAC17H9.20.1,SPAC17H9.20.1:pep
I,1,2036327,2040544,,2039521,SPAC17H9.20,psc3,SPAC17H9.20.1,SPAC17H9.20.1:pep
II,1,204405,205721,204648,205471,SPBC660.06,SPBC660.06,SPBC660.06.1,SPBC660.06.1:pep
I,1,2043745,2045159,2043841,,SPAC607.05,rpn9,SPAC607.05.1,SPAC607.05.1:pep
I,1,2043745,2045159,,2045042,SPAC607.05,rpn9,SPAC607.05.1,SPAC607.05.1:pep
I,-1,2047359,2048308,2048308,2047359,SPAC607.07c,SPAC607.07c,SPAC607.07c.1,SPAC607.07c.1:pep
I,-1,2071691,2073591,2073591,2071691,SPAC3C7.05c,mug191,SPAC3C7.05c.1,SPAC3C7.05c.1:pep
I,1,2102190,2104103,2102781,2103955,SPAC25A8.02,atg14,SPAC25A8.02.1,SPAC25A8.02.1:pep
II,1,206580,209641,207077,209286,SPBC660.07,ntp1,SPBC660.07.1,SPBC660.07.1:pep
I,1,2133203,2136010,2133438,,SPAC23C11.01,SPAC23C11.01,SPAC23C11.01.1,SPAC23C11.01.1:pep
I,1,2133203,2136010,,,SPAC23C11.01,SPAC23C11.01,SPAC23C11.01.1,SPAC23C11.01.1:pep
I,1,2133203,2136010,,,SPAC23C11.01,SPAC23C11.01,SPAC23C11.01.1,SPAC23C11.01.1:pep
I,1,2133203,2136010,,,SPAC23C11.01,SPAC23C11.01,SPAC23C11.01.1,SPAC23C11.01.1:pep
I,1,2133203,2136010,,2135022,SPAC23C11.01,SPAC23C11.01,SPAC23C11.01.1,SPAC23C11.01.1:pep
II,-1,210126,211344,,,SPNCRNA.1328,SPBC660.08-antisense-1,SPNCRNA.1328.1,
II,-1,227193,227448,,,SPNCRNA.1330,SPNCRNA.1330,SPNCRNA.1330.1,
I,1,2140379,2141698,2140528,2141399,SPAC23C11.05,ipp1,SPAC23C11.05.1,SPAC23C11.05.1:pep
II,1,262562,263669,262762,263651,SPBC800.06,brx1,SPBC800.06.1,SPBC800.06.1:pep
II,1,265305,267229,265373,,SPBC800.08,gcd10,SPBC800.08.1,SPBC800.08.1:pep
II,1,265305,267229,,266899,SPBC800.08,gcd10,SPBC800.08.1,SPBC800.08.1:pep
II,1,274712,275245,,,SPNCRNA.1333,SPNCRNA.1333,SPNCRNA.1333.1,
I,-1,2181450,2184521,2184521,,SPAC13F5.06c,sec10,SPAC13F5.06c.1,SPAC13F5.06c.1:pep
I,-1,2181450,2184521,,,SPAC13F5.06c,sec10,SPAC13F5.06c.1,SPAC13F5.06c.1:pep
I,-1,2181450,2184521,,,SPAC13F5.06c,sec10,SPAC13F5.06c.1,SPAC13F5.06c.1:pep
I,-1,2181450,2184521,,,SPAC13F5.06c,sec10,SPAC13F5.06c.1,SPAC13F5.06c.1:pep
I,-1,2181450,2184521,,2181450,SPAC13F5.06c,sec10,SPAC13F5.06c.1,SPAC13F5.06c.1:pep
II,1,278235,279160,,,SPNCRNA.1335,SPBC800.12c-antisense-1,SPNCRNA.1335.1,
II,1,285676,285749,,,SPBTRNAALA.07,SPBTRNAALA.07,SPBTRNAALA.07.1,
II,-1,307042,309627,,,SPNCRNA.1338,SPBC1773.12-antisense-1,SPNCRNA.1338.1,
II,-1,317694,320922,320922,,SPBC1773.16c,SPBC1773.16c,SPBC1773.16c.1,SPBC1773.16c.1:pep
II,-1,317694,320922,320774,317694,SPBC1773.16c,SPBC1773.16c,SPBC1773.16c.1,SPBC1773.16c.1:pep
II,1,320610,321519,,,SPNCRNA.301,SPNCRNA.301,SPNCRNA.301.1,
I,-1,2217019,2219065,2219065,,SPAC18G6.04c,shm2,SPAC18G6.04c.1,SPAC18G6.04c.1:pep
I,-1,2217019,2219065,,2217019,SPAC18G6.04c,shm2,SPAC18G6.04c.1,SPAC18G6.04c.1:pep
II,-1,339346,340012,,,SPNCRNA.103,sme2,SPNCRNA.103.1,
I,-1,2241748,2242554,2242554,2241748,SPAC18G6.14c,rps7,SPAC18G6.14c.1,SPAC18G6.14c.1:pep
II,-1,340696,341753,341753,,SPBC1271.13,mrpl8,SPBC1271.13.1,SPBC1271.13.1:pep
II,-1,340696,341753,,340696,SPBC1271.13,mrpl8,SPBC1271.13.1,SPBC1271.13.1:pep
I,-1,2249180,2249250,,,SPATRNAGLY.02,SPATRNAGLY.02,SPATRNAGLY.02.1,
II,1,347590,350376,348313,350060,SPBC1271.10c,SPBC1271.10c,SPBC1271.10c.1,SPBC1271.10c.1:pep
II,-1,358510,359373,,,SPNCRNA.1345,SPBC1271.07c-antisense-1,SPNCRNA.1345.1,
II,-1,360439,363023,,,SPNCRNA.304,SPNCRNA.304,SPNCRNA.304.1,
I,-1,2249892,2251382,2251382,,SPAC13D6.03c,trm9,SPAC13D6.03c.1,SPAC13D6.03c.1:pep
I,-1,2249892,2251382,,2249892,SPAC13D6.03c,trm9,SPAC13D6.03c.1,SPAC13D6.03c.1:pep
II,1,362405,364861,363441,364090,SPBC1271.05c,SPBC1271.05c,SPBC1271.05c.1,SPBC1271.05c.1:pep
II,1,377318,377617,,,SPNCRNA.305,SPNCRNA.305,SPNCRNA.305.1,
II,1,404224,406445,,,SPNCRNA.1354,sda1-antisense-1,SPNCRNA.1354.1,
I,-1,2265987,2269606,2269606,2265987,SPAC4G9.08c,rpc2,SPAC4G9.08c.1,SPAC4G9.08c.1:pep
II,1,434811,436173,434872,,SPBC582.09,pex11,SPBC582.09.1,SPBC582.09.1:pep
II,1,434811,436173,,,SPBC582.09,pex11,SPBC582.09.1,SPBC582.09.1:pep
II,1,434811,436173,,,SPBC582.09,pex11,SPBC582.09.1,SPBC582.09.1:pep
II,1,434811,436173,,435974,SPBC582.09,pex11,SPBC582.09.1,SPBC582.09.1:pep
II,-1,443917,444828,,,SPNCRNA.1359,SPNCRNA.1359,SPNCRNA.1359.1,
II,-1,449440,451091,451091,449440,SPBC428.05c,arg12,SPBC428.05c.1,SPBC428.05c.1:pep
I,-1,2269908,2272911,2272911,2269908,SPAC4G9.09c,arg11,SPAC4G9.09c.1,SPAC4G9.09c.1:pep
II,1,464238,464309,,,SPBTRNAHIS.01,SPBTRNAHIS.01,SPBTRNAHIS.01.1,
II,-1,467841,468829,,,SPBC428.12c,SPBC428.12c,SPBC428.12c.1,SPBC428.12c.1:pep
II,-1,467841,468829,,,SPBC428.12c,SPBC428.12c,SPBC428.12c.1,SPBC428.12c.1:pep
II,-1,467841,468829,,,SPBC428.12c,SPBC428.12c,SPBC428.12c.1,SPBC428.12c.1:pep
II,-1,467841,468829,,467841,SPBC428.12c,SPBC428.12c,SPBC428.12c.1,SPBC428.12c.1:pep
II,1,487884,489600,488229,488773,SPBC902.03,SPBC902.03,SPBC902.03.1,SPBC902.03.1:pep
I,-1,2284482,2286132,2286132,,SPAC4G9.17c,mrp5,SPAC4G9.17c.1,SPAC4G9.17c.1:pep
I,-1,2284482,2286132,,2284482,SPAC4G9.17c,mrp5,SPAC4G9.17c.1,SPAC4G9.17c.1:pep
II,1,514147,515953,514215,,SPBC1685.08,cti6,SPBC1685.08.1,SPBC1685.08.1:pep
II,1,514147,515953,,,SPBC1685.08,cti6,SPBC1685.08.1,SPBC1685.08.1:pep
II,1,514147,515953,,515705,SPBC1685.08,cti6,SPBC1685.08.1,SPBC1685.08.1:pep
II,-1,520406,522725,,,SPNCRNA.1366,SPNCRNA.1366,SPNCRNA.1366.1,
I,1,2287135,2288483,2287376,2288190,SPAC4G9.19,SPAC4G9.19,SPAC4G9.19.1,SPAC4G9.19.1:pep
II,1,543359,544836,543420,,SPBC354.01,gtp1,SPBC354.01.1,SPBC354.01.1:pep
II,1,543359,544836,,,SPBC354.01,gtp1,SPBC354.01.1,SPBC354.01.1:pep
II,1,543359,544836,,,SPBC354.01,gtp1,SPBC354.01.1,SPBC354.01.1:pep
II,1,543359,544836,,544726,SPBC354.01,gtp1,SPBC354.01.1,SPBC354.01.1:pep
I,1,2344065,2346044,2344814,2345808,SPAC17G8.02,SPAC17G8.02,SPAC17G8.02.1,SPAC17G8.02.1:pep
II,1,597310,599125,597610,,SPBC839.02,SPBC839.02,SPBC839.02.1,SPBC839.02.1:pep
II,-1,617191,618244,618244,,SPBC839.09c,mrp21,SPBC839.09c.1,SPBC839.09c.1:pep
II,-1,617191,618244,,617191,SPBC839.09c,mrp21,SPBC839.09c.1,SPBC839.09c.1:pep
II,-1,637575,639965,,,SPNCRNA.1377,SPBC115.02c-antisense-1,SPNCRNA.1377.1,
II,1,639273,641343,639373,,SPBC115.01c,rrp46,SPBC115.01c.1,SPBC115.01c.1:pep
II,1,639273,641343,,640138,SPBC115.01c,rrp46,SPBC115.01c.1,SPBC115.01c.1:pep
II,1,674049,676227,,,SPNCRNA.322,SPNCRNA.322,SPNCRNA.322.1,
II,1,687626,699886,687715,699632,SPBPJ4664.02,SPBPJ4664.02,SPBPJ4664.02.1,SPBPJ4664.02.1:pep
I,-1,2367140,2370652,2370652,,SPAC17G8.14c,pck1,SPAC17G8.14c.1,SPAC17G8.14c.1:pep
I,-1,2367140,2370652,,,SPAC17G8.14c,pck1,SPAC17G8.14c.1,SPAC17G8.14c.1:pep
I,-1,2367140,2370652,,,SPAC17G8.14c,pck1,SPAC17G8.14c.1,SPAC17G8.14c.1:pep
I,-1,2367140,2370652,,,SPAC17G8.14c,pck1,SPAC17G8.14c.1,SPAC17G8.14c.1:pep
I,-1,2367140,2370652,,2367140,SPAC17G8.14c,pck1,SPAC17G8.14c.1,SPAC17G8.14c.1:pep
II,1,712424,714152,712511,,SPBC119.01,rpn3,SPBC119.01.1,SPBC119.01.1:pep
II,1,712424,714152,,,SPBC119.01,rpn3,SPBC119.01.1,SPBC119.01.1:pep
II,1,712424,714152,,714096,SPBC119.01,rpn3,SPBC119.01.1,SPBC119.01.1:pep
I,1,2371726,2372900,2371751,,SPAC22H10.02,SPAC22H10.02,SPAC22H10.02.1,SPAC22H10.02.1:pep
I,1,2371726,2372900,,,SPAC22H10.02,SPAC22H10.02,SPAC22H10.02.1,SPAC22H10.02.1:pep
I,1,2371726,2372900,,2372373,SPAC22H10.02,SPAC22H10.02,SPAC22H10.02.1,SPAC22H10.02.1:pep
I,-1,2373052,2376572,2376572,,SPAC22H10.03c,kap114,SPAC22H10.03c.1,SPAC22H10.03c.1:pep
I,-1,2373052,2376572,,,SPAC22H10.03c,kap114,SPAC22H10.03c.1,SPAC22H10.03c.1:pep
I,-1,2373052,2376572,,,SPAC22H10.03c,kap114,SPAC22H10.03c.1,SPAC22H10.03c.1:pep
I,-1,2373052,2376572,,,SPAC22H10.03c,kap114,SPAC22H10.03c.1,SPAC22H10.03c.1:pep
I,-1,2373052,2376572,,,SPAC22H10.03c,kap114,SPAC22H10.03c.1,SPAC22H10.03c.1:pep
I,-1,2373052,2376572,,,SPAC22H10.03c,kap114,SPAC22H10.03c.1,SPAC22H10.03c.1:pep
I,-1,2373052,2376572,,2373052,SPAC22H10.03c,kap114,SPAC22H10.03c.1,SPAC22H10.03c.1:pep
II,1,715227,716311,715332,,SPBC119.02,ubc4,SPBC119.02.1,SPBC119.02.1:pep
II,1,715227,716311,,,SPBC119.02,ubc4,SPBC119.02.1,SPBC119.02.1:pep
